autoroute;sens;nom_aire;type;pk_texte;pk_km
A89;Sens Bordeaux - Lyon;Le Branchillon;Repos;Km 412;412
A89;Sens Bordeaux - Lyon;La Limagne;Service;Km 421;421
A89;Sens Bordeaux - Lyon;Les Pins;Repos;Km 436;436
A89;Sens Bordeaux - Lyon;Le Haut-Forez;Service;Km 457;457
A89;Sens Bordeaux - Lyon;Les Bruyères;Repos;Km 482;482
A89;Sens Bordeaux - Lyon;La Loire;Service;Km 494;494
A89;Sens Bordeaux - Lyon;Tarare;Repos;Km 520;520
A89;Sens Bordeaux - Lyon;Les Pierres Dorées;Repos;Km 527;527
A89;Sens Lyon - Bordeaux;Les Pierres Dorées;Repos;Km 527;527
A89;Sens Lyon - Bordeaux;Tarare;Repos;Km 520;520
A89;Sens Lyon - Bordeaux;La Loire;Service;Km 494;494
A89;Sens Lyon - Bordeaux;Les Ardilliers;Repos;Km 482;482
A89;Sens Lyon - Bordeaux;Le Haut-Forez;Service;Km 457;457
A89;Sens Lyon - Bordeaux;Les Suchères;Repos;Km 450;450
A89;Sens Lyon - Bordeaux;Le Lac;Repos;Km 436;436
A89;Sens Lyon - Bordeaux;La Limagne;Service;Km 421;421
A89;Sens Lyon - Bordeaux;Les Pacages;Repos;Km 412;412
A89;Sens Lyon - Bordeaux;Les Martres-d'Artière;Repos;Km 408;408
A89;Sens Lyon - Bordeaux;Clermont-Barrière (Gerzat);Repos;Km 381 ( A71 );381
A89;Sens Lyon - Bordeaux;Pessat-Villeneuve;Repos;Km 372 ( A71 );372
A89;Sens Lyon - Bordeaux;Manzat;Service;Km 350;350
A89;Sens Lyon - Bordeaux;Prondines;Repos;Km 312;312
A89;Sens Lyon - Bordeaux;Les Présidents;Service;Km 288;288
A89;Sens Lyon - Bordeaux;La Loutre;Repos;Km 271;271
A89;Sens Lyon - Bordeaux;La Corrèze;Service;Km 232;232
A89;Sens Lyon - Bordeaux;Saint-Germain-les-Vergnes;Repos;Km 203;203
A89;Sens Lyon - Bordeaux;Le Pays de Brive;Service;Km 162;162
A89;Sens Lyon - Bordeaux;Thenon;Repos;Km 157;157
A89;Sens Lyon - Bordeaux;Le Manoire;Service;Km 125;125
A89;Sens Lyon - Bordeaux;Mussidan;Repos;Km 90;90
A89;Sens Lyon - Bordeaux;Les Palombières;Service;Km 54;54
A89;Sens Lyon - Bordeaux;Les Vignes;Repos;Km 36;36
A89;Sens Lyon - Bordeaux;Arveyres;Repos;Km 21;21
A104;Sens Cergy-Pontoise - Marcoussis;Vert Galant Nord;Service;Km 5 ( RN184 );5
A104;Sens Cergy-Pontoise - Marcoussis;Les Quatre Chemins;Service;Km 10 ( RN184 );10
A104;Sens Cergy-Pontoise - Marcoussis;Attainville;Service;Km 10 ( RN104 );10
A104;Sens Cergy-Pontoise - Marcoussis;Villevaudé Sud;Service;Km 19 ( A104 );19
A104;Sens Cergy-Pontoise - Marcoussis;Les Berchères;Service;Km 5 ( RN104 );5
A104;Sens Cergy-Pontoise - Marcoussis;La Pointe Ringale;Service;Km 31 ( RN104 );31
A104;Sens Cergy-Pontoise - Marcoussis;Beauvert;Service;Km 57 ( RN104 );57
A104;Sens Marcoussis - Cergy-Pontoise;Fond des Prés;Service;Km 56 ( RN104 );56
A104;Sens Marcoussis - Cergy-Pontoise;Fleury;Service;Km 42 ( RN104 );42
A104;Sens Marcoussis - Cergy-Pontoise;Les Chevreaux;Service;Km 31 ( RN104 );31
A104;Sens Marcoussis - Cergy-Pontoise;Villevaudé Nord;Service;Km 19 ( A104 );19
A104;Sens Marcoussis - Cergy-Pontoise;Les Quatre Chemins;Service;Km 7 ( RN184 );7
A104;Sens Marcoussis - Cergy-Pontoise;Saint-Ouen-l'Aumône;Service;Km 4 ( RN184 );4
A105;Sens Brie-Comte-Robert - Melun;Galande-la-Sablière;Service;Km 5;5
A105;Sens Melun - Brie-Comte-Robert;Galande-la-Mare-Laroche;Service;Km 5;5
A106;Sens Paris - Orly;Rungis-Delta;Service;Km 6;6
A131;Sens Le Havre - Rouen;Pont de Tancarville;Repos;Km 1 ( RN182 );1
A131;Sens Le Havre - Rouen;Bourneville;Repos;Km 1;1
A131;Sens Rouen - Le Havre;Bourneville;Repos;Km 1;1
A131;Sens Rouen - Le Havre;Pont de Tancarville;Repos;Km 1 ( RN182 );1
A150;Sens Rouen-Le Havre;La Vaupalière;Service;Km 8;8
A150;Sens Rouen-Le Havre;Bouville;Repos;km 16;16
A150;Sens Le Havre-Rouen;La vallée d'Écalles;Repos;km 16;16
A154;Sens A13 - Evreux;Val-de-Reuil;Repos;Km 1;1
A154;Sens Evreux - A13;Val-de-Reuil;Repos;Km 1;1
A304;Sens Charleroi - Reims;Rocroi;Repos;Km 8;8
A304;Sens Reims - Charleroi;Rocroi;Repos;Km 8;8
A311;Sens A31 - Dijon;Dijon-Sud;Repos;Km 31;31
A311;Sens Dijon - A31;Dijon-Sud;Repos;Km 31;31
A330;Sens Nancy - Flavigny-sur-Moselle;Le Canal de l'Est;Service;Km 6;6
A355;Sens Innenheim - Vendenheim;La Bruche;Service;Km 4;4
A355;Sens Innenheim - Vendenheim;Ittenheim;Repos;Km 13;13
A355;Sens Vendenheim - Innenheim;Ittenheim;Repos;Km 13;13
A355;Sens Vendenheim - Innenheim;La Bruche;Service;Km 4;4
A391;Sens A39 - Poligny;Bersaillin;Repos;Km 1;1
A391;Sens Poligny - A39;Bersaillin;Repos;Km 1;1
A404;Sens A40 - Oyonnax;Groissiat;Repos;Km 12;12
A404;Sens Oyonnax - A40;Groissiat;Repos;Km 12;12
A406;Sens RN79 - A40;Replonges;Repos;Km 1;1
A406;Sens A40 - RN79;Replonges;Repos;Km 1;1
A410;Sens Annecy - Chamonix;Crêts Blancs;Service;Km 144;144
A410;Sens Annecy - Chamonix;Étaux;Repos;Km 154;154
A410;Sens Chamonix - Annecy;Évires;Repos;Km 154;154
A410;Sens Chamonix - Annecy;Groisy;Service;Km 144;144
A430;Sens A43 - Albertville;Sainte-Hélène-sur-Isère;Repos;Km 135;135
A430;Sens Albertville - A43;Sainte-Hélène-sur-Isère;Repos;Km 143;143
A432;Sens Les Échets - Saint-Laurent-de-Mure;Saint-Exupéry;Repos;Km 32;32
A500;Sens A8 - Monaco;La Turbie;Repos;Km 1;1
A500;Sens Monaco - A8;La Turbie;Repos;Km 1;1
A520;Sens A52 - Auriol;Auriol;Repos;Km 2;2
A520;Sens Auriol - A52;Auriol;Repos;Km 2;2
A570;Sens Hyères - Toulon;Saint-Augustin;Service;Km 1;1
A570;Sens Toulon - Hyères;Sans nom;Repos;Km 10 ( RN98 );10
A620;Sens Bordeaux - Montpellier;Station-service;Service;Km 7;7
A620;Sens Montpellier - Bordeaux;Station-service;Service;Km 7;7
A630;Sens extérieur;Aquitaine-Nord;Service;Km 6;6
A630;Sens extérieur;Aquitaine;Service;Km 15;15
A630;Sens extérieur;Thouars-Sud;Service;Km 28;28
A630;Sens extérieur;Fontbelleau;Service;Km 43 ( RN230 );43
A630;Sens intérieur;Lormont;Service;Km 43 ( RN230 );43
A630;Sens intérieur;Thouars-Nord;Service;Km 28;28
A630;Sens intérieur;Gironde;Service;Km 15;15
A630;Sens intérieur;Aquitaine-Sud;Service;Km 6;6
A641;Sens A64 - Dax;Peyrehorade;Repos;Km 1;1
A641;Sens Dax - A64;Peyrehorade;Repos;Km 1;1
A645;Sens A64 - Espagne;Montréjeau;Repos;Km 1;1
A645;Sens Espagne - A64;Montréjeau;Repos;Km 1;1
A701;Sens A10 - Orléans;Orléans-Nord;Repos;Km 1;1
A709;Sens Orange - Le Perthus;Baillargues;Repos;15 km au Nord-Est de Montpellier;15
A709;Sens Orange - Le Perthus;Saint-Jean-de-Védas;Repos;4 km au Sud-Ouest de Montpellier;4
A709;Sens Le Perthus - Orange;Saint-Jean-de-Védas;Repos;4 km au Sud-Ouest de Montpellier;4
A709;Sens Le Perthus - Orange;Baillargues;Repos;15 km au Nord-Est de Montpellier;15
A714;Sens A71 - Quinssaines;Bedun;Repos;Km 1;1
A714;Sens Quinssaines - A71;Les Amarons;Repos;Km 1;1
A719;Sens A71 - Vichy;Vichy;Repos;Km 21;21
A719;Sens A71 - Vichy;Gannat;Repos;Km 1;1
A719;Sens Vichy - A71;Gannat;Repos;Km 1;1
A719;Sens Vichy - A71;Vichy;Repos;Km 21;21
A750;Sens Lodève - Montpellier;La Taillade;Service;Km 23;23
A750;Sens Montpellier - Lodève;La Taillade;Service;Km 23;23
A837;Sens Rochefort - Saintes;Cabariot;Repos;Km 13;13
A837;Sens Rochefort - Saintes;Les Oiseaux;Repos;Km 26;26
A837;Sens Saintes - Rochefort;La Pierre de Crazannes;Repos;Km 29;29
A837;Sens Saintes - Rochefort;Cabariot;Repos;Km 13;13
